Name,Win rate,Loss rate,Team,Games Played,Average Goals,Average Headed goals,Average Penalties scored,Average Freekicks scored,Average Assists,Average Shots,Average Shots on target,Average Hit woodworks,Average Big chances missed,Average Passes,Average Big chances created,Average Yellow cards,Average Red cards,Average Fouls,Average Offsides
Patson Daka,0.25,0.5208333333333334,Leicester City,48,0.1875,0.0,0.0,0.0,0.125,1.125,0.6458333333333334,0.020833333333333332,0.1875,9.416666666666666,0.125,0.08333333333333333,0.0,0.7708333333333334,0.2708333333333333
Tete,0.2,0.6,Leicester City,10,0.1,0.0,0.0,0.0,0.0,1.4,0.2,0.0,0.1,18.2,0.0,0.0,0.0,0.3,0.4
Roberto Firmino,0.6141732283464567,0.14960629921259844,Liverpool,254,0.31496062992125984,0.07086614173228346,0.007874015748031496,0.0,0.1968503937007874,2.248031496062992,0.9803149606299213,0.051181102362204724,0.2755905511811024,33.30708661417323,0.25984251968503935,0.047244094488188976,0.0,0.9448818897637795,0.2795275590551181
Mohamed Salah,0.6473214285714286,0.14285714285714285,Liverpool,224,0.6071428571428571,0.03125,0.08035714285714286,0.0,0.24107142857142858,3.5669642857142856,1.5580357142857142,0.08035714285714286,0.49107142857142855,28.709821428571427,0.36607142857142855,0.03125,0.0,0.5,0.48660714285714285
Diogo Jota,0.5073529411764706,0.19852941176470587,Liverpool,136,0.3235294117647059,0.058823529411764705,0.0,0.0,0.10294117647058823,2.1176470588235294,0.8602941176470589,0.051470588235294115,0.3602941176470588,22.235294117647058,0.17647058823529413,0.15441176470588236,0.0,1.1985294117647058,0.1323529411764706
Luis Diaz,0.6086956521739131,0.08695652173913043,Liverpool,23,0.30434782608695654,0.13043478260869565,0.0,0.0,0.21739130434782608,2.347826086956522,0.8695652173913043,0.08695652173913043,0.21739130434782608,30.304347826086957,0.17391304347826086,0.08695652173913043,0.0,1.1304347826086956,0.21739130434782608
Darwin Nunez,0.44,0.24,Liverpool,25,0.36,0.12,0.0,0.0,0.12,3.24,1.48,0.2,0.72,13.24,0.44,0.04,0.04,0.88,0.64
Ben Doak,0.5,0.5,Liverpool,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.5,0.0
Cody Gakpo,0.35714285714285715,0.2857142857142857,Liverpool,14,0.35714285714285715,0.0,0.0,0.0,0.07142857142857142,2.0,0.5714285714285714,0.0,0.21428571428571427,16.071428571428573,0.07142857142857142,0.0,0.0,1.2857142857142858,0.42857142857142855
Riyad Mahrez,0.5688405797101449,0.2427536231884058,Manchester City,276,0.2971014492753623,0.014492753623188406,0.04710144927536232,0.010869565217391304,0.2028985507246377,2.1050724637681157,0.8731884057971014,0.06159420289855073,0.14855072463768115,30.992753623188406,0.358695652173913,0.03260869565217391,0.0,0.5362318840579711,0.21739130434782608
Erling Haaland,0.7142857142857143,0.14285714285714285,Manchester City,28,1.1428571428571428,0.21428571428571427,0.21428571428571427,0.0,0.17857142857142858,3.4285714285714284,1.7142857142857142,0.14285714285714285,0.7142857142857143,13.142857142857142,0.32142857142857145,0.17857142857142858,0.0,1.0,0.25
Julian Alvarez,0.782608695652174,0.13043478260869565,Manchester City,23,0.30434782608695654,0.0,0.043478260869565216,0.0,0.0,1.3478260869565217,0.6521739130434783,0.043478260869565216,0.13043478260869565,12.0,0.08695652173913043,0.0,0.0,0.6956521739130435,0.08695652173913043
Alejandro Garnacho,0.47058823529411764,0.29411764705882354,Manchester United,17,0.11764705882352941,0.0,0.0,0.0,0.11764705882352941,0.9411764705882353,0.4117647058823529,0.058823529411764705,0.11764705882352941,8.529411764705882,0.11764705882352941,0.11764705882352941,0.0,0.4117647058823529,0.17647058823529413
