Mark Gillespie,300000
Dan Burn,12000000
Jamaal Lascelles,10000000
Fabian Schär,7000000
Ciaran Clark,1800000
Federico Fernández,1500000
Matt Targett,17000000
Jamal Lewis,10000000
Paul Dummett,1500000
Kieran Trippier,15000000
Emil Krafth,5000000
Javier Manquillo,3000000
Bruno Guimarães,40000000
Isaac Hayden,8000000
Joe Willock,22000000
Sean Longstaff,13000000
Jonjo Shelvey,10000000
Jeff Hendrick,5000000
Matty Longstaff,1800000
Lucas De Bolle,
Matt Ritchie,1800000
Joelinton,20000000
Elliot Anderson,200000
Joe White,
Allan Saint-Maximin,32000000
Ryan Fraser,10000000
Miguel Almirón,16000000
Jacob Murphy,5000000
Callum Wilson,18000000
Chris Wood,10000000
Dwight Gayle,1500000
Brice Samba,2500000
Ethan Horvath,800000
Jordan Smith,300000
Joe Worrall,4000000
Scott McKenna,3500000
Steve Cook,2800000
Loïc Mbe Soh,2500000
Jonathan Panzo,2500000
Tobias Figueiredo,1800000
Baba Fernandes,
Riley Harbottle,
Max Lowe,3000000
Gaëtan Bong,300000
Djed Spence,8000000
Richie Laryea,2500000
Mohamed Dräger,1300000
Jordi Osei-Tutu,1000000
Jordan Lawrence-Gabriel,500000
Jayden Richardson,
Fin Back,
James Garner,7000000
Jack Colback,600000
Ryan Yates,4000000
Braian Ojeda,1500000
Harry Arter,800000
Cafú,700000
Tyrese Fornah,
Oliver Hammond,
Philip Zinckernagel,3000000
João Carvalho,2500000
Ateef Konaté,150000
Alex Mighten,600000
Joe Lolley,2500000
Xande Silva,500000
Brennan Johnson,15000000
Keinan Davis,2500000
Sam Surridge,2000000
Nuno Da Costa,1200000
Lewis Grabban,600000
Lyle Taylor,500000
Dale Taylor,
Pierluigi Gollini,10000000
Hugo Lloris,7000000
Brandon Austin,300000
Cristian Romero,48000000
Davinson Sánchez,28000000
Eric Dier,28000000
Japhet Tanganga,12000000
Joe Rodon,8000000
Cameron Carter-Vickers,7000000
Maksim Paskotsi,200000
