Player,Salary,Year
Kevin De Bruyne,20800000,2021
Kevin Long,1200000,2021
Kevin McDonald,1144000,2021
Kevin Wimmer,3640000,2021
Ki Sung-yueng,2080000,2019
Ki-Jana Hoever,2100000,2021
Kieffer Moore,920000,2021
Kieran Dowell,390000,2021
Kieran Gibbs,2860000,2020
Kieran Tierney,5720000,2021
Kieran Trippier,6250000,2021
Kieron Freeman,234000,2018
Kiko Casilla,1670000,2020
Kiko Femenia,1040000,2021
Konstantinos Mavropanos,1191667,2019
Konstantinos Tsimikas,3120000,2021
Kortney Hause,420000,2021
Kristoffer Ajer,1150000,2021
Kristoffer Klaesson,570000,2021
Kristoffer Nordfeldt,1300000,2019
Kurt Zouma,6240000,2021
Kyle Bartley,702000,2020
Kyle Edwards,1058200,2020
Kyle Naughton,1664000,2017
Kyle Scott,156000,2017
Kyle Walker,5720000,2021
Kyle Walker-Peters,1200000,2021
Laurent Depoitre,1820000,2019
Laurent Koscielny,4680000,2018
Lazar Markovic,1820000,2018
Leander Dendoncker,6240000,2021
Leandro Trossard,1820000,2021
Lee Camp,364000,2017
Lee Grant,1560000,2020
Lee Peltier,702000,2020
Lee Tomlin,988000,2019
Leif Davis,31000,2020
Leighton Baines,3380000,2019
Leo Bonatini,1456000,2018
Leon Bailey,5200000,2021
Leon Balogun,950000,2019
Leon Britton,1820000,2017
Leon Clarke,468000,2019
Leonardo Campana,1040000,2019
Leonardo Ulloa,1560000,2017
Leroy Fer,2340000,2017
Leroy Sane,4680000,2019
Lewis Baker,1040000,2017
Lewis Cook,2080000,2021
Lewis Dunk,2340000,2021
Lewis Grabban,1508000,2017
Liam Cooper,338000,2021
Liam Rosenior,1040000,2017
Lloyd Kelly,1560000,2021
Loic Damour,468000,2018
Loris Karius,1300000,2019
Louis Thompson,780000,2021
Lovre Kalinic,817000,2019
Loïc Mbe Soh,290000,2021
Lucas Digne,7650000,2021
Lucas Moura,4160000,2021
Lucas Perez,4160000,2018
Lucas Torreira,3900000,2019
Luciano Narsingh,1560000,2017
Luciano Vietto,2860000,2018
Luis Díaz,2669333,2021
Luka Milivojevic,2860000,2021
Luka Racic,260000,2020
Lukas Rupp,1170000,2021
Lukasz Fabianski,3380000,2021
Luke Ayling,416000,2021
Luke Freeman,520000,2021
Luke Garbutt,1456000,2017
Luke Shaw,6240000,2021
