full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings,salary,saves_per_game_overall,save_percentage_overall
Harvey Lewis Barnes,Midfielder,13.33,24.0,538.0,45.0,267.0,1052.0,3.0,2,1.2838683428357878,12,520000,,
Hassane Kamara,Midfielder,25.0,1.0,498.0,4.0,188.0,325.0,0.0,3,-0.11085820769591022,8,1380000,,
Helder Wander Sousa Azevedo Costa,Midfielder,0.0,0.0,5.0,1.0,4.0,0.0,0.0,1,-0.9912907305558334,38,1690000,,
Ibrahima Diallo,Midfielder,0.0,4.0,357.0,7.0,116.0,1014.0,0.0,0,-0.3069455629650754,36,2860000,,
Ilkay Gundogan,Midfielder,20.51,19.0,1154.0,39.0,142.0,1855.0,0.0,4,1.0643735078902554,3,7280000,,
Imran Louza,Midfielder,0.0,4.0,502.0,11.0,163.0,237.0,0.0,0,-0.3042027275090401,35,1690000,,
Isaac Hayden,Midfielder,33.33,1.0,260.0,3.0,123.0,201.0,0.0,3,-0.2498709690868093,12,1144000,,
Isaac Price,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1.011282467864855,54,57200,,
Ismaila Sarr,Midfielder,14.71,17.0,321.0,34.0,226.0,932.0,1.0,4,0.6825981459502878,5,3276000,,
Jack Cork,Midfielder,25.0,2.0,421.0,4.0,155.0,419.0,0.0,3,-0.15265086111231635,10,1976000,,
Jack Grealish,Midfielder,12.5,16.0,819.0,24.0,236.0,639.0,1.0,5,0.6333435866379635,19,15600000,,
Jack Harrison,Midfielder,29.63,17.0,615.0,27.0,405.0,883.0,1.0,5,1.167239699095627,3,780000,,
Jacob Murphy,Midfielder,4.55,5.0,290.0,22.0,191.0,364.0,1.0,0,-0.007614767795921525,15,1300000,,
Jacob Ramsey,Midfielder,26.09,11.0,881.0,23.0,312.0,413.0,0.0,5,0.6817419105465606,17,390000,,
Jakob Sorensen,Midfielder,0.0,1.0,241.0,2.0,65.0,0.0,0.0,1,-0.7766471512812769,15,520000,,
Jakub Moder,Midfielder,0.0,6.0,568.0,18.0,200.0,1702.0,2.0,4,0.40716740993316825,8,520000,,
James Maddison,Midfielder,22.22,34.0,771.0,54.0,254.0,822.0,3.0,2,1.685595658955887,5,5720000,,
James McArthur,Midfielder,0.0,3.0,755.0,5.0,202.0,359.0,2.0,0,-0.03605832894756658,19,2860000,,
James Milner,Midfielder,0.0,2.0,603.0,7.0,108.0,422.0,1.0,0,-0.3265340733191118,38,7280000,,
James Ward-Prowse,Midfielder,25.64,24.0,1578.0,39.0,235.0,643.0,3.0,2,1.5248239706253983,7,2340000,,
Jamie Shackelton,Midfielder,0.0,1.0,299.0,3.0,97.0,177.0,0.0,1,-0.6508193964363491,10,78000,,
Jean-Philippe Gbamin,Midfielder,0.0,0.0,16.0,0.0,10.0,0.0,0.0,1,-0.9883617789243103,35,3900000,,
Jeff Hendrick,Midfielder,100.0,1.0,27.0,1.0,6.0,0.0,0.0,3,0.12307363283661032,3,2100000,,
Jeffrey Schlupp,Midfielder,17.39,9.0,487.0,23.0,281.0,1846.0,1.0,4,0.775326627291731,4,2912000,,
Jesse Lingard,Midfielder,28.57,6.0,128.0,7.0,34.0,355.0,0.0,3,-0.32019239999134697,14,3900000,,
Joao Moutinho,Midfielder,13.33,7.0,1658.0,15.0,278.0,744.0,1.0,5,0.7148518918920141,15,5200000,,
Johann Berg Gudmundsson,Midfielder,0.0,5.0,198.0,12.0,136.0,553.0,1.0,0,-0.2550322682181721,31,1560000,,
John McGinn,Midfielder,9.09,16.0,981.0,33.0,426.0,387.0,1.0,5,1.0334366159560366,5,1300000,,
Jonjo Shelvey,Midfielder,8.0,14.0,731.0,25.0,112.0,285.0,1.0,0,0.2265160353594877,3,3640000,,
Jordan Henderson,Midfielder,9.52,6.0,1841.0,21.0,159.0,867.0,3.0,5,0.7716610432051138,12,7280000,,
Jorginho,Midfielder,50.0,9.0,1679.0,12.0,263.0,456.0,0.0,5,0.9451038684623841,9,5720000,,
Joseph Willock,Midfielder,8.0,11.0,444.0,25.0,293.0,0.0,0.0,5,0.2472024466803582,42,1040000,,
Josh Brownhill,Midfielder,10.53,9.0,867.0,19.0,287.0,295.0,0.0,5,0.3516580851429737,36,2080000,,
Juan Mata,Midfielder,0.0,1.0,182.0,3.0,22.0,0.0,0.0,1,-0.8609045441690493,21,8320000,,
Juraj Kucka,Midfielder,2.86,11.0,467.0,35.0,353.0,385.0,1.0,5,0.5944002588570112,22,1150000,,
Kai Havertz,Midfielder,19.51,23.0,531.0,41.0,250.0,604.0,3.0,2,1.153510407884118,13,7800000,,
Kalvin Phillips,Midfielder,0.0,3.0,774.0,12.0,213.0,399.0,1.0,0,-0.013136701565171199,16,234000,,
Kasey McAteer,Midfielder,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.0109719225234475,49,260000,,
