full_name,salary,year
Grant Hanley,1300000,2020
Tim Krul,1300000,2020
Kenny McLean,1300000,2020
Teemu Pukki,1300000,2020
Lys Mousset,1300000,2020
Kamil Grosicki,1300000,2020
Joe Ralls,1275000,2020
Dominic Calvert-Lewin,1248000,2020
Kevin Long,1200000,2020
Mohammed Salisu,1200000,2020
Kyle Walker-Peters,1200000,2020
Japhet Tanganga,1200000,2020
Said Benrahma,1200000,2020
Goncalo Cardoso,1200000,2020
Aaron Connolly,1196000,2020
Florent Hadergjonaj,1196000,2020
Eldin Jakupovic,1196000,2020
Marc Navarro,1196000,2020
Craig Cathcart,1195000,2020
Callum Paterson,1170000,2020
Max Aarons,1170000,2020
Lukas Rupp,1170000,2020
Harry Arter,1160000,2020
Aaron Ramsdale,1155000,2020
Kevin McDonald,1144000,2020
Diego Llorente,1144000,2020
Isaac Hayden,1144000,2020
Romain Saiss,1144000,2020
Terence Kongolo,1140000,2020
Onel Hernandez,1140000,2020
Ivan Toney,1092000,2020
Daniel Amartey,1092000,2020
Grady Diangana,1058200,2020
Kyle Edwards,1058200,2020
David Brooks,1040000,2020
Emile Smith Rowe,1040000,2020
Joe Willock,1040000,2020
Bryan Mbeumo,1040000,2020
Christian Norgaard,1040000,2020
Mathias Jensen,1040000,2020
Chris Lowe,1040000,2020
Adam Forshaw,1040000,2020
Danny Ward,1040000,2020
Oleksandr Zinchenko,1040000,2020
Timm Klose,1040000,2020
Mario Vrancic,1040000,2020
Lyle Taylor,1040000,2020
Oliver McBurnie,1040000,2020
Michael Verrips,1040000,2020
Jan Bednarek,1040000,2020
Kiko Femenia,1040000,2020
Jerome Sinclair,1040000,2020
Matt Phillips,1040000,2020
Joe Bennett,1015000,2020
Neil Etheridge,1015000,2020
Christoph Zimmermann,1010000,2020
Diego Rico,1001000,2020
Robin Olsen,1000000,2020
Wesley Fofana,1000000,2020
Ben Johnson,1000000,2020
Pablo Hernandez,988000,2020
Greg Cunningham,987000,2020
Jack Harrison,975000,2020
Darnell Furlong,962000,2020
Nathaniel Mendez-Laing,961667,2020
Matthew Longstaff,960000,2020
Josh Dasilva,936000,2020
Sam McQueen,936000,2020
Adalberto Penaranda,936000,2020
Marco Stiepermann,910000,2020
Joe Lolley,910000,2020
Jayson Molumby,900000,2020
Brandon Pierrick,900000,2020
Will Smallbone,900000,2020
Juninho Bacuna,884000,2020
James Garner,880000,2020
Joe Gelhardt,858000,2020
Illan Meslier,858000,2020
Jayden Bogle,858000,2020
Semi Ajayi,858000,2020
Conor Coady,858000,2020
Philip Heise,842000,2020
Jason Steele,833333,2020
Dan Burn,832000,2020
Cameron Carter-Vickers,832000,2020
Max Sanders,800000,2020
Caoimhin Kelleher,800000,2020
Philip Billing,780000,2020
Reiss Nelson,780000,2020
Runar Alex Runarsson,780000,2020
Sergi Canos,780000,2020
Ethan Pinnock,780000,2020
Steven Alzate,780000,2020
Jo Gorenc-Stankovic,780000,2020
Ezgjan Alioski,780000,2020
Louis Thompson,780000,2020
Tom Trybull,780000,2020
Scott McKenna,780000,2020
Oliver Norwood,780000,2020
Ken Sema,780000,2020
Max Kilman,780000,2020
Eric Garcia,750000,2020
Stipe Perica,702000,2020
Kyle Bartley,702000,2020
Lee Peltier,702000,2020
Neeskens Kebano,700024,2020
Jack Rodwell,686400,2020
Alexander Tettey,676000,2020
Nathan Tella,650000,2020
Joao Pedro,650000,2020
Romaine Sawyers,650000,2020
Shandon Baptiste,624000,2020
Rico Henry,624000,2020
Michal Karbownik,624000,2020
Harrison Reed,624000,2020
Ben Hamer,624000,2020
Ben Woodburn,624000,2020
Phil Foden,624000,2020
Mortiz Leitner,624000,2020
Billy Sharp,624000,2020
Nuno da Costa,620000,2020
Chris Mepham,607000,2020
Stephen Henderson,600000,2020
Luke Thomas,600000,2020
Mark Gillespie,600000,2020
Michael Obafemi,600000,2020
Jack Robinson,572000,2020
Charly Musonda,550000,2020
Gary Madine,546000,2020
Vitaly Janelt,520000,2020
Jakub Moder,520000,2020
Robert Sanchez,520000,2020
Joao Virginia,520000,2020
Stefan Johansen,520000,2020
Harvey Barnes,520000,2020
Patrick Roberts,520000,2020
Jacob Lungi Sorensen,520000,2020
Jack Colback,520000,2020
Joe Worrall,520000,2020
Jack O'Connell,520000,2020
Josh Tymon,520000,2020
Bailey Peacock-Farrell,500000,2020
Joe Rodon,500000,2020
Conor Gallagher,500000,2020
Francisco Sierralta,494000,2020
Ben Pearson,490000,2020
Chris Basham,487000,2020
Denis Odoi,462800,2020
Ian Poveda,457600,2020
Oliver Burke,457600,2020
Ouasim Bouy,450850,2020
Michael McGovern,442000,2020
James Justin,429000,2020
Halil Dervisoglu,420000,2020
Neil Taylor,416000,2020
Kortney Hause,416000,2020
Ezri Konsa,416000,2020
Jed Steer,416000,2020
Christian Walton,416000,2020
Luke Ayling,416000,2020
Stuart Dallas,416000,2020
Emiliano Buendia,416000,2020
Ben Marshall,416000,2020
John Fleck,416000,2020
Domingos Quina,416000,2020
Vicente Guaita,404000,2020
Mateusz Klich,403000,2020
Kamil Grabara,400000,2020
Jacob Ramsey,390000,2020
Ethan Ampadu,390000,2020
Hamza Choudhury,390000,2020
Curtis Jones,390000,2020
Kieran Dowell,390000,2020
John Egan,390000,2020
Pascal Struijk,371800,2020
Ben White,350000,2020
Jimmy Dunne,350000,2020
Mads Roerslev,346667,2020
Liam Cooper,338000,2020
Przemyslaw Placheta,320000,2020
Will Norris,300000,2020
John Ruddy,300000,2020
Charlie Goode,292500,2020
Loic Mbe Soh,290000,2020
Wes Foderingham,286000,2020
Marcus Forss,260000,2020
Tariqe Fosu,260000,2020
Luka Racic,260000,2020
Dwight McNeil,260000,2020
Jake Clarke-Salter,260000,2020
Adam Idah,260000,2020
Simon Moore,260000,2020
Julien Ngoy,260000,2020
Thibaud Verlinden,260000,2020
Ben Wilmot,260000,2020
Kalvin Phillips,234000,2020
Niels Nkounkou,230000,2020
Marek Rodak,230000,2020
Max Lowe,228800,2020
Mads Bech Sorensen,208000,2020
George Baldock,208000,2020
John Lundstrom,208000,2020
Ben Osborn,208000,2020
Enda Stevens,208000,2020
Alfie Whiteman,200000,2020
Dominic Thompson,182000,2020
Moises Caicedo,182000,2020
Tyler Roberts,182000,2020
Alex Mighten,180000,2020
Ellery Balcombe,170000,2020
Jan Zamburek,161200,2020
Kean Bryan,156000,2020
Daniel Bachmann,156000,2020
Jeremy Ngakia,130000,2020
Bali Mumba,120000,2020
Charlie Cresswell,110000,2020
Yan Valery,104000,2020
Jamie Shackleton,78000,2020
Morgan Gibbs-White,78000,2020
Sam Greenwood,70000,2020
Sean Longstaff,52000,2020
Gavin Kilkenny,40000,2020
Leif Davis,31000,2020
Bertrand Traore,0,2020
Jairo Riedewald,0,2020
Jean-Philippe Mateta,0,2020
Gaetano Berardi,0,2020
Jonny Evans,0,2020
Joel Matip,0,2020
Rhys Williams,0,2020
Odion Ighalo,0,2020
Oriol Romeu,0,2020
Stuart Armstrong,0,2020
Toby Alderweireld,0,2020
Oliver Skipp,0,2020
Jose Moutinho,0,2020
