Player,Salary,Year
Dwight McNeil,260000,2021
George Wickens,260000,2021
Adam Idah,260000,2021
Valentino Livramento,260000,2021
Julien Ngoy,260000,2021
Thibaud Verlinden,260000,2021
Kalvin Phillips,234000,2021
Rayan Aït-Nouri,234000,2021
Marek Rodak,230000,2021
Max Lowe,228800,2021
David Button,228000,2021
Mads Bech Sørensen,208000,2021
George Baldock,208000,2021
Ben Osborn,208000,2021
Enda Stevens,208000,2021
Dara O'Shea,208000,2021
Moises Caicedo,182000,2021
Tyler Roberts,182000,2021
Teden Mengi,180000,2021
Alex Mighten,180000,2021
Daniel Bachmann,156000,2021
Toti Gomes,140000,2021
Jeremy Ngakia,130000,2021
Charlie Cresswell,110000,2021
Yan Valery,104000,2021
Steven Sessegnon,100000,2021
Arthur Okonkwo,80000,2021
Brandon Austin,80000,2021
Rayhaan Tulloch,80000,2021
Jamie Shackleton,78000,2021
Sam Greenwood,70000,2021
Sean Longstaff,52000,2021
Gavin Kilkenny,40000,2021
Connor Ronan,40000,2021
Cody Drameh,30000,2021
Jordan Zemura,20000,2021
Bertrand Traoré,0,2021
Jairo Riedewald,0,2021
Jonny Evans,0,2021
Jordan Henderson,0,2021
Joel Matip,0,2021
Andrew Robertson,0,2021
Rhys Williams,0,2021
Oriol Romeu,0,2021
Stuart Armstrong,0,2021
Cristian Romero,0,2021
Dejan Kulusevski,0,2021
Oliver Skipp,0,2021
Cucho Hernández,0,2021
Jose Moutinho,0,2021
