full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings
Naby Deco Keïta,Midfielder,20.0,7.0,638.0,15.0,146.0,391,1,0,0.3385052432900416,1
Nampalys Mendy,Midfielder,0.0,1.0,592.0,1.0,86.0,345,0,1,-0.5527815964702881,3
Nathan Ferguson,Midfielder,0.0,0.0,1.0,0.0,0.0,0,0,1,-0.9054109439813909,50
Nathan Redmond,Midfielder,6.67,9.0,491.0,15.0,175.0,0,0,0,-0.12792197747343514,14
Nathan Tella,Midfielder,0.0,5.0,100.0,9.0,136.0,405,0,0,-0.5875967578106721,48
Nemanja Matić,Midfielder,0.0,1.0,901.0,5.0,162.0,461,3,0,-0.22734260151075802,22
Nikola Vlašić,Midfielder,25.0,3.0,164.0,4.0,89.0,0,0,3,0.021628565613539735,16
Ogochukwu Onyeka Frank,Midfielder,0.0,5.0,251.0,11.0,169.0,262,0,0,-0.5185571011219652,44
Oleksandr Zinchenko,Midfielder,0.0,4.0,882.0,10.0,90.0,0,1,0,-0.3077066140223423,32
Oliver Skipp,Midfielder,0.0,1.0,761.0,3.0,120.0,225,0,0,-0.4732989022630911,41
Onyinye Wilfred Ndidi,Midfielder,0.0,4.0,747.0,9.0,251.0,405,0,0,-0.29554064999117063,31
Oriol Romeu,Midfielder,11.11,4.0,1373.0,18.0,361.0,322,1,5,0.40378083310473123,24
Ozan Tufan,Midfielder,0.0,0.0,85.0,3.0,37.0,0,0,1,-0.8427660743157848,22
Pablo Fornals Malla,Midfielder,20.69,12.0,1028.0,29.0,302.0,701,1,5,0.8139883392838707,9
Pascal Groß,Midfielder,11.76,9.0,919.0,17.0,136.0,2043,2,4,0.5024379207029588,5
Paul Pogba,Midfielder,4.35,8.0,732.0,23.0,238.0,154,2,5,0.04307348342409085,42
Pelenda Joshua Tunga Dasilva,Midfielder,0.0,0.0,72.0,0.0,30.0,126,0,1,-0.848627595141767,25
Philip Foden,Midfielder,21.95,22.0,839.0,41.0,188.0,2133,4,2,1.3343029766248953,9
Philippe Coutinho,Midfielder,14.71,16.0,516.0,34.0,145.0,0,0,5,0.36470869866335287,27
Pierre Lees Melou,Midfielder,4.55,9.0,790.0,22.0,259.0,454,0,5,0.048764993575516655,40
Pierre-Emile Højbjerg,Midfielder,10.0,11.0,2266.0,20.0,313.0,1066,2,5,1.04698984369745,7
Robert Kenedy Nunes do Nascimento,Midfielder,0.0,0.0,34.0,0.0,11.0,0,0,1,-0.8868101590029965,31
Rodri,Midfielder,21.88,14.0,2621.0,32.0,319.0,577,1,5,1.5680585227544295,2
Rodrigo Bentancur,Midfielder,0.0,2.0,902.0,10.0,159.0,273,3,0,-0.20282946900475252,19
Ross Barkley,Midfielder,12.5,4.0,103.0,8.0,30.0,0,0,1,-0.34876183193923455,2
